"Id","Title","Unit","Area","Aircon","Electrical","FloorTrap","GreaseTrap","Availability","Shopfront","Status","Slug","CreatedAt"
"1542","Jurong East #01-02","#01-02","23.56","","","","","","","published","jurong-east-01-02","2026-08-30T03:29:58.943Z"
"1543","Jurong East #01-05","#01-05","23.56","","","","","","","published","jurong-east-01-05","2026-08-30T03:29:59.041Z"
"1544","Jurong East #01-07","#01-07","23.56","","","","","","","published","jurong-east-01-07","2026-08-30T03:29:59.164Z"
"1541","Petir #01-K1","#01-K1","2.8","","","","","","","published","petir-01-k1","2026-08-30T03:29:58.757Z"
"","","","","","","","","","","","",""
