"Description","Link"
"Axiom Math staff together with Yifeng Huang and Peter Paule have proved the first four non-trivial cases of the Huang–Jiang–Oblomkov conjecture. The classical Rogers–Ramanujan identities equate infinite q-series governed by quadratic forms to infinite products with modular symmetry, but finding the structures that generate such families remains a fundamental challenge. The conjecture proposes a powerful new origin in algebraic geometry: counts of commuting nilpotent matrix pairs on plane curve singularities x^a=y^b naturally yield broad families of these identities. Focusing on the a=3 layer, the team proved a finer sum-to-sum identity that settles the conjecture for b=4,5,7, and 8. AxiomProver formalized and verified these algebraic identities in Lean, providing an end-to-end formal certificate for the proofs.","https://arxiv.org/abs/2608.15219"
"Axiom Math staff mathematicians have proved a conjecture from 2010 on the parity of the partition function. Count the ways to break a number into a sum of positive integers and you get p(n); ask only whether that count is even or odd and you hit one of the most stubborn walls in the subject. The conjecture picks out a thin quadratic sliver of the integers — the values (Dm² + 1)/24, for squarefree D congruent to 23 mod 24 — and predicts that even and odd both keep appearing along it forever. For linear progressions this was settled years ago. For anything of degree two or higher, nothing was known at all. The new paper proves the quadratic case, and does it with geometry: the parity question is converted into a question about special points on a curve, and modulo 2 those points stubbornly refuse to collide. What survives is an obstruction that neither an all-even nor an all-odd pattern could live with. AxiomProver formalized and verified the algebraic identities at the heart of the paper in Lean.","https://arxiv.org/abs/2509.09553"
"Axiom Math mathematicians have proved the Lyons–White conjecture, revealing a sharp and unexpected law for random walks on dihedral groups. A random walk approaches equilibrium when its probability becomes evenly spread across the group. There are many ways to measure how far it remains from this uniform distribution: one can add the discrepancies directly, square them, raise them to the fourth or sixth power, or use other powers that emphasize large discrepancies differently. One might expect that increasing the rates at which the walk moves would always bring it closer to equilibrium, regardless of the measurement used. Lyons and White discovered that this intuition often fails, but found no failures for measurements based on even powers. The new paper proves that this is the exact dividing line: every positive even power guarantees monotonic movement toward equilibrium, while every other finite power fails for some dihedral group. The positive result also extends to generalized dihedral, dicyclic, and generalized quaternion groups. AxiomProver formally verified all three main theorems in Lean, assuming standard results from analysis and group theory.","https://arxiv.org/abs/2608.27708"
"Axiom Math mathematicians have obtained new bounds for a fundamental question about the character tables of symmetric groups. A character table is a matrix that records how the basic representations of a group respond to its different types of symmetries. Most of these tables contain many zero entries, but some columns contain no zeros at all. The column corresponding to the identity is always zero-free. The question is how many others can exist. Earlier work showed that their number grows at most quadratically with the number of objects being permuted. The new paper reduces this universal bound to three-quarter-power growth and proves an essentially square-root bound for almost every symmetric group. The proof combines the combinatorics of partitions with arithmetic properties of triangular numbers and norms in the Eisenstein integers, together with deep estimates on gaps in multiplicative sequences. The authors also conjecture that the true number of zero-free columns grows more slowly than every fixed positive power. AxiomProver formalized and verified the two main theorems in Lean, assuming established results from the literature.","https://arxiv.org/abs/2608.27718"
