"Title","Link","Deadline","ReferenceNo"
"Provision of Halal-Certified Buffet Catering Services inclusive of venue for NUS Career Fest 2026 on 23 September 2026 (Wednesday)","https://www.tendersontime.com/tenders-details/provision-halal-certified-buffet-catering-services-inclusive-venue-nus-career-fest-2026-23-september-8ad9c07/","22 Jul 2026","145595399"
"Supply of Manpower Services - Operations Executive (Oe) for Temasek Junior College","https://www.tendersontime.com/tenders-details/supply-manpower-services---operations-executive-oe-temasek-junior-college-8ad8607/","29 Jul 2026","145589767"
"Supply of Admin Support Officer Base Year from 1St January to 31St December 2027 & Option Year from 1St January to 31St December 2028.","https://www.tendersontime.com/tenders-details/supply-admin-support-officer-base-year-1st-january-31st-december-2027-option-year-1st-january-31st-8ad8605/","29 Jul 2026","145589765"
"Infocomm Club Cca Training Programme in Greendale Pri School from 4 Jan 2027 to 31 Dec 2027 with an Option to Extend for Another 1 Year in 2028","https://www.tendersontime.com/tenders-details/infocomm-club-cca-training-programme-greendale-pri-school-4-jan-2027-31-dec-2027-option-extend-anoth-8ad85ea/","29 Jul 2026","145589738"
"Design, Printing and Delivery of Student Handbook for Pei Chun Public School (2027)","https://www.tendersontime.com/tenders-details/design-printing-and-delivery-student-handbook-pei-chun-public-school-2027-8ad85e8/","29 Jul 2026","145589736"
"Supply of Inflatables, Carnival Games and Decorations for Children's Day 2026","https://www.tendersontime.com/tenders-details/supply-inflatables-carnival-games-and-decorations-childrens-day-2026-8ad85e5/","29 Jul 2026","145589733"
"Appointment of Registered Inspectors (Architectural) to the Hdb Panel of Registered Inspectors (Batch 8)","https://www.tendersontime.com/tenders-details/appointment-registered-inspectors-architectural-hdb-panel-registered-inspectors-batch-8-8ad85e2/","19 Aug 2026","145589730"
"Appointment of Registered Inspectors (M&E) to the Hdb Panel of Registered Inspectors (Batch 8)","https://www.tendersontime.com/tenders-details/appointment-registered-inspectors-me-hdb-panel-registered-inspectors-batch-8-8ad85d1/","19 Aug 2026","145589713"
"Supply of Chess Cca Instructor in St Joseph's Institution Junior for Year 2027 with Option Year 2028","https://www.tendersontime.com/tenders-details/supply-chess-cca-instructor-st-josephs-institution-junior-year-2027-option-year-2028-8ad85d0/","29 Jul 2026","145589712"
"Pa-Itq-2026-0024 Provision of Customised Environment-Themed Workshop for Junior Environmental Ambassadors- (Jeas) Training Camp under Green Schools @","https://www.tendersontime.com/tenders-details/pa-itq-2026-0024-provision-customised-environment-themed-workshop-junior-environmental-ambassadors--8ad85ce/","30 Jul 2026","145589710"
"Supply, Delivery, Installation and Commissioning, Handover and Training of (1) unit of High-speed and High-sensitivity Spinning Disk Confocal System to the Mechanobiology Institute (MBI), National Uni...","https://www.tendersontime.com/tenders-details/supply-delivery-installation-and-commissioning-handover-and-training-1-unit-high-speed-and-high-8aedb3f/","05 Aug 2026","145677119"
"Invitation to Quote for the Provision of Soil Testing Works for a Period of Three (3) Years","https://www.tendersontime.com/tenders-details/invitation-quote-provision-soil-testing-works-period-three-3-years-8aeb932/","04 Aug 2026","145668402"
"(Fy25/Dst/015/Itt) Term Contract for Campus Network Structured Cabling System Service for 36 Months (With an Option to Extend for Another 24 Months)","https://www.tendersontime.com/tenders-details/fy25dst015itt-term-contract-campus-network-structured-cabling-system-service-36-months-with-op-8aeb92a/","24 Aug 2026","145668394"
"Leasing 1 Unit of Heavy Duty, Multi-Purpose Black / White Copier Machine to East Spring Primary School","https://www.tendersontime.com/tenders-details/leasing-1-unit-heavy-duty-multi-purpose-black-white-copier-machine-east-spring-primary-school-8aeb923/","30 Jul 2026","145668387"
"Provision of 1 Set of Graphic Processing Unit (Gpu) Compute Unit","https://www.tendersontime.com/tenders-details/provision-1-set-graphic-processing-unit-gpu-compute-unit-8aeb91c/","03 Aug 2026","145668380"
"Provision of School Uniform Services in Chij St Nicholas Girls' School for 3 Years from 2027 with Option to Extend for Another 3 Years","https://www.tendersontime.com/tenders-details/provision-school-uniform-services-chij-st-nicholas-girls-school-3-years-2027-option-extend-another-8aeb914/","30 Jul 2026","145668372"
"Spo-Req-2026-003663-Inp-Quotation for Purchase of Internship Injury Insurance for Sp Students for 2 Years with an Option to Extend for Another Year","https://www.tendersontime.com/tenders-details/spo-req-2026-003663-inp-quotation-purchase-internship-injury-insurance-sp-students-2-years-option-ex-8aeb90c/","30 Jul 2026","145668364"
"Wsps - Supply of Instructors for Choir Cca for Base Year 2027 with Option Year 2028 in Wsps [Wps2027aor-002]","https://www.tendersontime.com/tenders-details/wsps---supply-instructors-choir-cca-base-year-2027-option-year-2028-wsps-wps2027aor-002-8aeb907/","30 Jul 2026","145668359"
"Appointment of Insurance Broker for Enterprise Singapore (Enterprisesg) Dubai Oc Overseas Based Staff (Obs) Health Insurance","https://www.tendersontime.com/tenders-details/appointment-insurance-broker-enterprise-singapore-enterprisesg-dubai-oc-overseas-based-staff-obs-8aeb900/","04 Aug 2026","145668352"
"Procurement of Cleaning Services for South West Community Development Council (Swcdc) for a Period of Three Years","https://www.tendersontime.com/tenders-details/procurement-cleaning-services-south-west-community-development-council-swcdc-period-three-years-8aeb8f6/","31 Aug 2026","145668342"
