"Id","Title","Url","Description","Industries","Worlds"
"aa48c9f2-a083-4686-9f8d-2b178ec9f796","Vessel Manager","/omw/Day-in-the-Life/Vessel-Manager","Satbir never expected to go from fixing engines to managing entire ships. As a vessel manager, Satbir balances crew wellbeing, vessel performance optimisation, budgets and sustainability.","Maritime","Informed World"
"5f574e2a-3ccb-4c34-a727-d92e124a79e8","Talent Development and Human Capital Manager ","/omw/Day-in-the-Life/Talent-Development-and-Human-Capital-Manager","From hiring to developing capacity for leadership, Rachael's career in human resources (HR) goes beyond policies - it's about building people and helping them go further.","Maritime","Informed World"
"79539d73-4b79-47b1-95e4-f3f8033c7d36","Research Analyst Manager (Maritime)","/omw/Day-in-the-Life/Research-Analyst-Manager","Fang Yi uses real-time data to unlock smarter decisions, turning insights into impact.","Maritime","Informed World"
"f2834032-8fca-4596-ad55-7f8baf3f59f9","Actress","/omw/Day-in-the-Life/Actress","Watch an exclusive behind the scnes with Ah Yoke from the cast of Mediacorp drama 'Kin', as she shows you what it takes to be an Actress.","Arts and Entertainment","Beautiful World"
"d722606d-d3a9-4fe3-bda7-26de42f6a178","Prison Officer","/omw/Day-in-the-Life/Prison-Officer","Being a prison officer, Elvis finds meaning in his interactions with inmates, engaging in guided conversations and supporting them on their rehabilitative journey.","Defence","Safe World, Inclusive World"
"90490968-229b-4f5e-b4c1-f9d239a078d3","MedTech Engineer","/omw/Day-in-the-Life/MedTech-Engineer","MedTech Engineer Jae Hann stabilises and automates production of 4D-printed orthopaedic casts: fixing printers, expediting manufacturing, and setting up processes for scaled production.","Healthcare, Engineering","Healthy World, Inclusive World"
"0e383c14-093c-41d6-842e-d199ed11bfce","Robotics Engineer","/omw/Day-in-the-Life/Robotics-Engineer","Robotics Engineer Zefan Huang designs and tests autonomous vehicles and robots that aid people with limited mobility.","Engineering, Computer Science","Informed World, Safe World, Inclusive World"
"c3001e25-08d6-45f0-990f-872e4c6190d5","Scientist Entrepreneur (BioTech)","/omw/Day-in-the-Life/BioTech-Scientist-Entrepreneur","Scientist Entrepreneurs use research to launch startups - turning lab discoveries into new therapies, like targeted treatments for aggressive cancers that improve patient outcomes.","Biopharmaceuticals Manufacturing, Healthcare","Healthy World, Informed World"
"16ab98cb-7af3-4360-bdf1-6009ee0038b9","Research Technician (BioTech)","/omw/Day-in-the-Life/Research-Technician-BioTech","Ria and Samirah work as Research Technicians in BioTech, focusing on advancing cancer therapeutics. They analyse results to develop new treatments - like using stem cells to help animals recover from cancer.","Biopharmaceuticals Manufacturing","Healthy World, Informed World"
